type_line,oracle_text,edhrec_rank,colors,cmc,rarity,toughness,name,keywords,color_identity,power,mana_cost
Creature — Vampire Soldier,"When Dusk Legion Zealot enters the battlefield, you draw a card and you lose 1 life.",1753,['B'],2.0,common,1,Dusk Legion Zealot,[],['B'],1,{1}{B}
Creature — Insect,"Flying
Whenever Goldenglow Moth blocks, you may gain 4 life.",10790,['W'],1.0,common,1,Goldenglow Moth,['Flying'],['W'],0,{W}
Artifact Creature — Scarecrow,"{T}: Add one mana of any color.
{T}: Target creature becomes the color or colors of your choice until end of turn.",3328,[],3.0,uncommon,2,Scuttlemutt,[],[],2,{3}
Creature — Goblin,"Whenever you draw your second card each turn, create two 1/1 black Rat creature tokens.",8323,['R'],4.0,uncommon,2,Mad Ratter,[],['R'],1,{3}{R}
Enchantment,"At the beginning of each player's upkeep, that player sacrifices a nonland, nontoken permanent. If that player can't, they discard a card, they lose 2 life, you draw a card, you gain 2 life, you create a 2/2 white Knight creature token with vigilance, then you sacrifice Doom Foretold.",7251,"['B', 'W']",4.0,rare,,Doom Foretold,[],"['B', 'W']",,{2}{W}{B}
Creature — Faerie // Sorcery — Adventure,,8707,['W'],1.0,common,1,Faerie Guidemother // Gift of the Fae,['Flying'],['W'],1,{W} // {1}{W}
Creature — Elemental,Flying,11233,['U'],5.0,uncommon,4,Air Elemental,['Flying'],['U'],4,{3}{U}{U}
Creature — Skeleton Knight,"Haste
When you gain life for the first time each turn, return Deathless Knight from your graveyard to your hand.",12860,"['B', 'G']",4.0,uncommon,2,Deathless Knight,['Haste'],"['B', 'G']",4,{B/G}{B/G}{B/G}{B/G}
Creature — Cat Cleric,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.",15558,['W'],2.0,uncommon,1,Abuna Acolyte,[],['W'],1,{1}{W}
Creature — Zombie,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",3771,['B'],2.0,common,1,Butcher Ghoul,['Undying'],['B'],1,{1}{B}
Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",2568,['B'],4.0,common,2,Gravedigger,[],['B'],2,{3}{B}
Creature — Zombie,"Unbreathing Horde enters the battlefield with a +1/+1 counter on it for each other Zombie you control and each Zombie card in your graveyard.
If Unbreathing Horde would be dealt damage, prevent that damage and remove a +1/+1 counter from it.",3029,['B'],3.0,rare,0,Unbreathing Horde,[],['B'],0,{2}{B}
Artifact,"{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle your library.",1070,[],2.0,common,,Armillary Sphere,[],[],,{2}
Creature — Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,1567,['U'],4.0,rare,0,Clone,[],['U'],0,{3}{U}
Land,"Tranquil Cove enters the battlefield tapped.
When Tranquil Cove enters the battlefield, you gain 1 life.
{T}: Add {W} or {U}.",322,[],0.0,common,,Tranquil Cove,[],"['U', 'W']",,
Sorcery,"Create five 1/1 white Human creature tokens. If this spell was cast from a graveyard, create ten of those tokens instead.
Flashback {7}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1949,['W'],5.0,rare,,Increasing Devotion,['Flashback'],['W'],,{3}{W}{W}
Creature — Human Soldier,"{1}, {T}, Sacrifice another creature: You gain life equal to that creature's toughness. Draw a card.",15164,['B'],4.0,common,4,Bushmeat Poacher,[],['B'],2,{3}{B}
Creature — Nightmare Pangolin,,18889,['B'],3.0,common,5,Gloom Pangolin,[],['B'],1,{2}{B}
